video_id,status,object,hidden_world,title,hook,script,scene_count,provider,output_file,youtube_upload_status,youtube_url,publish_status,views,average_view_duration,retention_notes,comments_count,subscriber_gain,notes,qc_status
001,assembled,fridge,tiny train station,I found a tiny train station inside my fridge,I opened the fridge at 3AM.,,5,kling,outputs/final_videos/001_final.mp4,not_uploaded,,private_pending,,,,,,Subseries: Fridge Worlds,approved_private_upload
002,idea,old book,midnight bakery,A bakery opened inside my old book,I opened an old book at midnight.,,5,kling,,not_uploaded,,private_pending,,,,,,Subseries: Book Worlds,pending
003,idea,coffee cup,glowing forest,There was a glowing forest inside my coffee cup,My coffee cup never went cold.,,5,kling,,not_uploaded,,private_pending,,,,,,Subseries: Cup Worlds,pending
004,idea,drawer,hotel for lost buttons,I found a hotel for lost buttons in my drawer,A button went missing from my coat.,,5,kling,,not_uploaded,,private_pending,,,,,,Subseries: Drawer Worlds,pending
005,idea,mirror,secret cinema,A secret cinema opened behind my mirror,My mirror fogged up on its own.,,5,kling,,not_uploaded,,private_pending,,,,,,Subseries: Mirror Worlds,pending
006,idea,abandoned shoe,tiny tailor workshop,A tiny tailor lived inside an abandoned shoe,I found an old shoe in the attic.,,5,kling,,not_uploaded,,private_pending,,,,,,Subseries: Tiny Shops,pending
007,idea,bed,rainy miniature city,A rainy city appeared under my bed,Something was glowing under my bed.,,5,kling,,not_uploaded,,private_pending,,,,,,Subseries: Rainy Night Stories,pending
008,idea,glass bottle,tiny lighthouse,A lighthouse turned on inside a glass bottle,An old bottle washed up on my shelf.,,5,kling,,not_uploaded,,private_pending,,,,,,Subseries: Bottle Worlds,pending
009,idea,matchbox,miniature library,A tiny library was hidden inside a matchbox,I found a matchbox in my grandfather's coat.,,5,kling,,not_uploaded,,private_pending,,,,,,Subseries: Tiny Shops,pending
010,idea,jewelry box,moon shop,A moon shop opened inside my jewelry box,My jewelry box hummed at midnight.,,5,kling,,not_uploaded,,private_pending,,,,,,Subseries: Tiny Shops,pending
011,idea,carpet,tiny subway station,A subway station appeared under my carpet,My carpet started vibrating at night.,,5,kling,,not_uploaded,,private_pending,,,,,,Subseries: Hidden Transit,pending
012,idea,teacup,miniature restaurant,A miniature restaurant opened inside my teacup,Steam kept rising from an empty teacup.,,5,kling,,not_uploaded,,private_pending,,,,,,Subseries: Cup Worlds,pending
013,idea,cracked egg,tiny greenhouse,A tiny greenhouse grew inside a cracked egg,An egg in my fridge had a crack of light.,,5,kling,,not_uploaded,,private_pending,,,,,,Subseries: Tiny Nature,pending
014,idea,candle flame,tiny village,There was a little village inside a candle flame,My candle flame flickered like windows.,,5,kling,,not_uploaded,,private_pending,,,,,,Subseries: Candle Worlds,pending
015,idea,old envelope,miniature post office,I found a post office inside an old envelope,An old envelope arrived with no return address.,,5,kling,,not_uploaded,,private_pending,,,,,,Subseries: Paper Worlds,pending
016,idea,wall clock,clockmaker apartment,A tiny clockmaker lived inside my wall clock,My wall clock started ticking backwards.,,5,kling,,not_uploaded,,private_pending,,,,,,Subseries: Clock Worlds,pending
017,idea,keyhole,hidden staircase,A staircase appeared inside my keyhole,I looked through an old keyhole at night.,,5,kling,,not_uploaded,,private_pending,,,,,,Subseries: Small Door Core,pending
018,idea,washing machine,tiny laundromat,A tiny laundromat opened inside my washing machine,My washing machine hummed a tune at 3AM.,,5,kling,,not_uploaded,,private_pending,,,,,,Subseries: Home Appliance Worlds,pending
019,idea,cereal box,miniature night market,A night market appeared inside my cereal box,My cereal box felt warm this morning.,,5,kling,,not_uploaded,,private_pending,,,,,,Subseries: Box Worlds,pending
020,idea,bookshelf,The Small Door,I found The Small Door behind my bookshelf,There was a door behind my bookshelf.,,5,kling,,not_uploaded,,private_pending,,,,,,Subseries: Small Door Core,pending
021,rejected,smoke detector,tiny control room counting down to something,"My smoke detector is counting down, not beeping",My smoke detector started counting down at 3:00 AM.,,5,kling,outputs/final_videos/021_sound_edit.mp4,not_uploaded,,rejected,,,,,,"Subseries: Countdown Worlds. Learning: technically passed QC but concept too abstract/low watchability, not WTF enough. Channel direction updated post-021 (WTF Watchability Score framework).",rejected_learning
022,final_candidate,toaster,tiny boxing match between anthropomorphic bread slices,My toaster has a tiny bread boxing match inside,I heard yelling from my toaster.,,5,kling,outputs/final_videos/022_v2_final_candidate.mp4,youtube_blocked_channel_suspended_possible,,private_pending,,,"Rescripted from a user-provided reference comic for visual clarity, then updated again to add character voice lines and centered viral-style captions. Prior cinematic-silhouette version (022_retention_edit.mp4, listed in output_file) is superseded and pending re-generation against the new script/scene/audio/caption plan; not yet QC'd or visually/aurally checked. ElevenLabs chosen for voice; dry-run-only generate_voice_022.py and mix_voice_and_sfx_022.py scripts added, both verified dry-run, no --live call made, no API key entered by Claude. No live Kling generation, voice generation, or upload performed yet for this version.",,,"Subseries: WTF Worlds. Script + scene prompts + visual clarity checklist + voice/audio plan + caption plan updated (022_script.json, 022_scenes.json, 022_visual_clarity_checklist.md, 022_voice_audio_plan.md, 022_caption_plan.md). Voice/SFX mix infra added (generate_voice_022.py, mix_voice_and_sfx_022.py, .env.example, .gitignore). No API credits spent, no upload performed.",UPLOAD BLOCKED: YouTube OAuth disabled_client error. Possible channel suspension. Do not retry upload until channel status confirmed and appeal resolved. Video ready at outputs/final_videos/022_v2_final_candidate.mp4.
023,idea,pillow,tiny dream factory stitching dreams into thread,There is a tiny dream factory sewn into my pillow,A seam on my pillow unzipped itself an inch.,,5,kling,,not_uploaded,,private_pending,,,,,,Subseries: WTF Worlds,pending
